id_caso,anio,mes,dia,codigo_dane_de_municipio,municipio,departamento,region,modalidad,presunto_responsable,descripcion_presunto_responsable,abandono_o_despojo_forzado_de_tierras,amenaza_o_intimidacion,ataque_contra_mision_medica,confinamiento_o_restriccion_a_la_movilidad,desplazamiento_forzado,extorsion,lesionados_civiles,pillaje,tortura,total_victimas_caso,forma_vinculacion,tipo_vinculacion,latitud_longitud,anio_valido,mes_valido,dia_valido,decada,latitud,longitud,alto_impacto,total_hechos
314.154,2.004,9,24,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,DESCONOCIDA,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL CASANARE (BUITRAGUEÑOS),0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-74.1810727 4.316107698),2004,9,24,2000-2009,4.316107698,-74.1810727,1,0
314.156,2.004,9,30,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,DESCONOCIDA,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL CASANARE (BUITRAGUEÑOS),0,0,0,0,0,0,0,0,0,3,MÚLTIPLE,SIN INFORMACIÓN,POINT (-74.1810727 4.316107698),2004,9,30,2000-2009,4.316107698,-74.1810727,1,0
314.16,2.004,10,4,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,DESCONOCIDA,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL CASANARE (BUITRAGUEÑOS),0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-74.1810727 4.316107698),2004,10,4,2000-2009,4.316107698,-74.1810727,1,0
314.173,2.006,3,10,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,4,COLECTIVO,SIN INFORMACIÓN,POINT (-74.1810727 4.316107698),2006,3,10,2000-2009,4.316107698,-74.1810727,1,0
314.177,2.007,5,25,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-74.1810727 4.316107698),2007,5,25,2000-2009,4.316107698,-74.1810727,1,0
314.58,2.006,1,17,05790,TARAZA,ANTIOQUIA,BAJO CAUCA ANTIOQUEÑO,DESCONOCIDA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,10,COLECTIVO,SIN INFORMACIÓN,POINT (-75.40189438 7.488875998),2006,1,17,2000-2009,7.488875998,-75.40189438,1,0
314.822,2.004,2,2,05697,EL SANTUARIO,ANTIOQUIA,ORIENTE ANTIOQUEÑO,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.25212278 6.124209495),2004,2,2,2000-2009,6.124209495,-75.25212278,1,0
314.965,2.003,9,3,05660,SAN LUIS,ANTIOQUIA,ORIENTE ANTIOQUEÑO,DESCONOCIDA,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.0076674 6.024205956),2003,9,3,2000-2009,6.024205956,-75.0076674,1,0
314.969,2.005,3,31,05660,SAN LUIS,ANTIOQUIA,ORIENTE ANTIOQUEÑO,DESCONOCIDA,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.0076674 6.024205956),2005,3,31,2000-2009,6.024205956,-75.0076674,1,0
314.996,2.001,0,0,05652,SAN FRANCISCO,ANTIOQUIA,ORIENTE ANTIOQUEÑO,PERSUASIÓN,GUERRILLA,ELN,0,1,0,0,0,0,0,0,0,2,MÚLTIPLE,RECLUTAMIENTO,POINT (-74.98176334 5.840093731),2001,,,2000-2009,5.840093731,-74.98176334,1,1
