variable,categoria,casos,porcentaje
presunto_responsable,CRIMEN ORGANIZADO,1,0.01
presunto_responsable,AGENTE DEL ESTADO - GRUPO PARAMILITAR,1,0.01
decada,SIN INFORMACION,11176,64.97
decada,2000-2009,4444,25.84
decada,2010-2019,941,5.47
decada,1990-1999,519,3.02
decada,1980-1989,64,0.37
decada,2020-2029,46,0.27
decada,1970-1979,9,0.05
decada,1960-1969,2,0.01
