indicador,valor
registros,17201.0
variables,32.0
duplicados,0.0
victimas_total,18182.0
victimas_media,1.057031567932097
victimas_max,150.0
anio_valido_unicos,50.0
departamento_unicos,35.0
region_unicos,76.0
modalidad_unicos,5.0
presunto_responsable_unicos,11.0
